$70	| $70 | image5.png
a-zz job_requirement	| A-zZ job_requirement | image2.png
a. data acquisition & preprocessing	| A. Data acquisition & preprocessing | image1.png
acc	| ACC | image1.png
acquisition	| Acquisition | image3.png
acquisition de donnees, logistique, mes, wms, sql, automatisation - ingenieur securite	| Acquisition de donnees, logistique, MEs, WMS, SQL, automatisation - Ingenieur securite | image4.png
actualites des	| Actualites des | image3.png,image5.png,image7.png
actuel du cv	| actuel du CV | image8.png
actuellement	| Actuellement | image9.png
adapte	| adapte | image9.png
adoption accrue du cloud natif et des	| Adoption accrue du cloud natif et des | image6.png
ai	| AI | image6.png
ai_ seed	| ai_ seed | image4.png
ai_seed	| ai_seed | image4.png
aide (h)	| Aide (H) | image2.png
ajn"gees	| ajn"gees | image6.png
ajouts	| ajouts | image6.png
al	| Al | image6.png
algorithmes	| algorithmes | image3.png
algorithmique.	| algorithmique. | image7.png
aligne sur iobjectif backend java : recherche, commande et paiement	| Aligne sur Iobjectif backend Java : recherche, commande et paiement | image8.png
ameliorer	| ameliorer | image7.png
analyse	| Analyse | image3.png,image5.png,image6.png,image7.png
analyse croisee multi-sources (6	| Analyse croisee multi-sources (6 | image6.png
analyse des besoins, conception et implementation des	| Analyse des besoins, conception et implementation des | image9.png
analyse&edition	| ANALYSE&EDITION | image7.png
android	| Android | image3.png
ao	| AO | image1.png
ap	| ap | image5.png
apercu des	| Apercu des | image3.png
appariement	| Appariement | image3.png,image5.png,image6.png,image7.png,image9.png
appariement poste-candidat	| Appariement poste-candidat | image7.png
appariement poste-candidat -	| Appariement poste-candidat - | image9.png
apparues	| apparues | image6.png
appel d'outils	| Appel d'outils | image5.png
appels/jour.	| appels/jour. | image8.png
applications llm	| Applications LLM | image5.png
apres	| Apres | image8.png
apsce	| apsce | image5.png
architecte d'agents	| Architecte d'agents | image5.png
arm	| ARM | image3.png
assess	| Assess | image1.png
assistee par ia	| assistee par IA | image6.png
asuivre	| Asuivre | image5.png
atout differenciateur precieux pour un recrutement junior.	| atout differenciateur precieux pour un recrutement junior. | image7.png
auc	| AUC | image1.png
aucun favori, ils apparaitront ici apres avoir clique sur	| Aucun favori, Ils apparaitront ici apres avoir clique sur | image5.png
aucune experience professionnelle formelle<br>(cv d'exemple - ajouter un stage ou un poste a	| Aucune experience professionnelle formelle<br>(CV d'exemple - ajouter un stage ou un poste a | image7.png
auto	| Auto | image2.png
auto-evaluation	| Auto-évaluation | image7.png
automatis es	| automatis es | image3.png
automatisation	| Automatisation | image3.png
automatisation bureautique, acquisition de donnees, excel, wms, logiciel industriel, mes - ingenieur vision industrielle	| Automatisation bureautique, acquisition de donnees, Excel, wMS, logiciel industriel, MES - Ingenieur vision industrielle | image4.png
automatises	| automatises | image9.png
avance	| Avance | image5.png
avantage differenciateur.	| avantage differenciateur. | image6.png
az data_source	| AZ data_source | image4.png
az industry_tags	| AZ industry_tags | image4.png
az skills	| AZ skills | image4.png
b. feature statistics	| B. Feature statistics | image1.png
backend java	| Backend Java | image7.png,image9.png
base de	| Base de | image2.png,image3.png,image5.png,image7.png
base du poste	| base du poste | image5.png,image9.png
basede	| Basede | image6.png
bejjing	| Bejjing | image9.png
benefits	| benefits | image2.png
biological	| Biological | image1.png
bookmarks	| Bookmarks | image2.png
c#	| C# | image3.png
c. results & visualization	| C. Results & visualization | image1.png
ca fonction	| ca fonction | image7.png
cad/cam	| CAD/CAM | image3.png
candidature	| candidature | image7.png
carte des talents	| Carte des talents | image3.png,image5.png,image6.png
carte technique	| Carte technique | image3.png
cartedes talents	| Cartedes talents | image7.png
categorie	| Categorie | image5.png
cause	| Cause | image6.png
ce poste apparait de facon stable dans les recrutements reels, demande en hausse	| Ce poste apparait de facon stable dans les recrutements reels, demande en hausse | image5.png
ce poste vs le	| Ce poste vs le | image5.png
central,	| central, | image8.png
centrale w.	| centrale w. | image6.png
chaine	| Chaine | image3.png
changement	| changement | image6.png
changements	| changements | image6.png
chronologie des	| Chronologie des | image6.png
cimeristomes	| Cimeristomes | image5.png
cjk >田 job_posting_details	| CJK >田 job_posting_details | image2.png
cjk >田 job_postings	| CJK >田 job_postings | image2.png
cjk >由 map_data_table	| CJK >由 map_data_table | image2.png
cjk の甲zhitu_crawl_db 目public@zhitu_crawl_db 品α	| CJK の甲zhitu_crawl_db 目public@zhitu_crawl_db 品α | image2.png
cjk 国 public	| CJK 国 public | image2.png
cjk 田 *job_posting_details x	| CJK 田 *job_posting_details X | image2.png
cjk 田 the_t	| CJK 田 the_t | image2.png
cjk 田job_postings	| CJK 田job_postings | image2.png
cjk 电 postgres localhost:5432	| CJK 电 postgres localhost:5432 | image2.png
cjk 自 zhitu _crawl db	| CJK 自 zhitu _crawl db | image2.png
cles	| cles | image7.png
cles de la periode	| cles de la periode | image6.png
cliquez sur < + modification ia > pour ouvrir le panneau : modifiez le cv a droite, cliquez sur le texte	| Cliquez sur < + Modification IA > pour ouvrir le panneau : modifiez le CV a droite, cliquez sur le texte | image7.png
cliquez sur le texte surigne pour	| Cliquez sur le texte surigne pour | image8.png
cliquez sur un poste pour afficher les	| Cliquez sur un poste pour afficher les | image9.png
cloud	| Cloud | image6.png
cloud natifetconteneurisation	| cloud natifetconteneurisation | image6.png
collaboratif une attente rigide.	| collaboratif une attente rigide. | image6.png
collaboration	| Collaboration | image5.png
collaboratior le developpement assiste par ia passe d'un × plus  a	| Collaboratior Le developpement assiste par IA passe d'un × plus  a | image6.png
collaborer avec produit, tests et frontend pour la livraison iterative ;	| Collaborer avec produit, tests et frontend pour la livraison iterative ; | image9.png
comparaison	| Comparaison | image5.png
comparaison des	| Comparaison des | image8.png
comparer les	| Comparer les | image5.png
competence	| Competence | image6.png
competences	| Competences | image6.png,image7.png,image9.png
competences apprentissage	| Competences Apprentissage | image7.png
competences cles	| Competences cles | image5.png
competences en ingenierie et	| competences en ingenierie et | image9.png
competencesappfentissage	| CompetencesAppfentissage | image9.png
composants reutilisables et les bonnes pratiques.	| composants reutilisables et les bonnes pratiques. | image9.png
conception	| Conception | image5.png
conception de farchitecture serveur et developpement metier central	| Conception de Farchitecture serveur et developpement metier central | image9.png
conception des tables,	| conception des tables, | image8.png
conception et	| Conception et | image5.png
conclusion	| Conclusion | image6.png
configuration	| configuration | image3.png
connexion × projets	| Connexion × Projets | image2.png
connexions par nom	| connexions par nom | image2.png
construction	| Construction | image5.png
construction de	| Construction de | image5.png
contenu	| Contenu | image8.png
contenu des communautes	| Contenu des communautes | image6.png
copilot	| Copilot | image6.png
correspondance	| correspondance | image9.png
correspondances	| correspondances | image9.png
cross-validation	| Cross-validation | image1.png
csv	| CSV | image1.png
cursor	| Cursor | image6.png
cv	| CV | image7.png
cv < 0.5	| CV < 0.5 | image1.png
cybersecurite	| Cybersécurité | image4.png
d'activite	| d'activite | image5.png
d'agents	| d'agents | image5.png
d'agregation	| d'agregation | image2.png
d'api	| d'API | image5.png
d'applications	| d'applications | image5.png
d'approfondir.	| d'approfondir. | image5.png
d'architecture	| d'architecture | image5.png
d'evenements	| d'évenements | image2.png
d. interpretation & validation	| D. Interpretation & validation | image1.png
dans 1 a 2 ans, le developpement collaboratif ia (prompts, revue de code,	| Dans 1 a 2 ans, le developpement collaboratif IA (prompts, revue de code, | image6.png
dans les recrutements : +18 pp	| dans les recrutements : +18 pp | image6.png
dashboards	| Dashboards | image2.png
date de	| Date de | image9.png
de	| de | image3.png,image5.png,image6.png
de competences, suivre fevolution de la structure du poste	| de competences, suivre Fevolution de la structure du poste | image6.png
de connaissances et execution	| de connaissances et execution | image5.png
de distribution,	| de distribution, | image8.png
de donnees	| de donnees | image3.png
de la	| de la | image5.png
de pilotes	| de pilotes | image3.png
de postes	| de postes | image9.png
de projet	| de projet | image7.png
de systemes	| de systemes | image5.png
de talents	| de talents | image5.png
decidez de le metfre% sur 6 mois. verifiez d'abord vos competences cles, puis	| decidez de le metfre% sur 6 mois. Verifiez d'abord vos competences cles, puis | image5.png
declencheurs	| Declencheurs | image2.png
decouverte de	| Decouverte de | image3.png,image5.png,image6.png,image7.png
defini	| defini | image7.png
degents	| degents | image5.png
demande	| Demande | image5.png
demande :	| Demande : | image5.png
depend de vos	| depend de vos | image7.png
deplier	| deplier | image6.png
depuis quels postes	| Depuis quels postes | image5.png
des	| des | image5.png
des agents dans les scenarios metier	| des agents dans les scenarios metier | image5.png
des objets	| des objets | image3.png,image4.png
des postes	| des postes | image3.png,image5.png,image7.png,image9.png
despostes	| despostes | image6.png
details a droite	| details a droite | image9.png
detected	| Detected | image1.png
developer	| developer | image5.png,image6.png,image7.png
developpement	| Developpement | image3.png,image4.png,image5.png,image9.png
developpement logiciel,	| Developpement logiciel, | image4.png
developpement logiciel, internet, fabrication inteligente - c#, logistique, java, genie logiciel, wms, sql, acquisition de donnees - ingenieur logiciel	| Developpement logiciel, Internet, fabrication inteligente - C#, logistique, Java, genie logiciel, WMS, SQL, acquisition de donnees - Ingenieur logiciel | image4.png
developpementjava	| developpementJava | image6.png
deveoppement	| Deveoppement | image5.png
diagnostic	| Diagnostic | image9.png
differenciation	| Differenciation | image5.png
diplome	| Diplome | image9.png
directement)	| directement) | image8.png
disponible	| Disponible | image9.png
docker	| Docker | image3.png
domaines	| domaines | image9.png
donnees	| donnees | image2.png,image3.png,image5.png,image6.png,image7.png
donnees (d)	| donnees (D) | image2.png
donnees a	| Donnees a | image6.png
donnees de	| Donnees de | image6.png
donnees de postes	| Donnees de postes | image6.png
donnees et ia	| Donnees et IA | image4.png
donnees industrielles, acquisition de donnees, logistique, analyse qualite, mes · analyste de donnees industrielles	| Donnees industrielles, acquisition de donnees, logistique, analyse qualite, MES · Analyste de donnees industrielles | image4.png
doopen	| doopen | image3.png
du cv	| du CV | image9.png
du poste	| du poste | image3.png,image5.png,image9.png
dynamique	| dynamique | image6.png
e-commerce	| E-commerce | image3.png
eafficher sql	| EAfficher SQL | image4.png
ecart	| Ecart | image5.png
echantillon:	| Echantillon: | image5.png
editeur sql	| Editeur SQL | image2.png
edition (e)	| Edition (E) | image2.png
embarque	| Embarque | image3.png
en	| en | image5.png
en competences - profils	| en competences - Profils | image3.png
en entretien, presentez d'abord le projet librairie, ou reordonnez les deux projets sur le cv (optimisation structurelle ; i'ajustement	| En entretien, presentez d'abord le projet librairie, ou reordonnez les deux projets sur le cv (optimisation structurelle ; I'ajustement | image7.png
en favori ou	| en favori ou | image5.png
en projet	| en projet | image7.png
engineering	| Engineering | image5.png
entrees du	| Entrees du | image7.png
entreprise	| Entreprise | image9.png
entreprise technologique -	| Entreprise technologique - | image9.png
entreprisededonnees	| Entreprisededonnees | image9.png
entreprises	| Entreprises | image7.png
entretien	| Entretien | image7.png,image9.png
equipe de 5 personnes, 12 documents techniques, 30+ fusions de	| Equipe de 5 personnes, 12 documents techniques, 30+ fusions de | image8.png
equipe de 5 personnes, 12 documents techniques, couverture de	| Equipe de 5 personnes, 12 documents techniques, couverture de | image8.png
est 2,8 fois superieure a	| est 2,8 fois superieure a | image5.png
et dense	| et dense | image8.png
et ingenierie	| et ingenierie | image5.png
et la securite des agents	| et la securite des agents | image5.png
et passent de  avance  a  exigence	| et passent de  avance  a  exigence | image6.png
etroitement lie aux microservices.	| etroitement lie aux microservices. | image6.png
evaluer et optimiser la performance, pefficacite	| Evaluer et optimiser la performance, Pefficacite | image5.png
evidence	| evidence | image1.png
evolution des	| Evolution des | image6.png
evolution dynamique des	| Evolution dynamique des | image6.png
excel	| Excel | image3.png
excel, wms, sql, logistique, acquisition de donnees, mes, automatisation - ingenieur robotique industrielle	| Excel, WMS, SQL, logistique, acquisition de donnees, MES, automatisation - Ingenieur robotique industrielle | image4.png
executer sql	| Exécuter SQL | image2.png
exigences du	| Exigences du | image9.png
experience	| Experience | image7.png,image9.png
experience en haute concurrence.	| experience en haute concurrence. | image9.png
experiences	| Experiences | image7.png
experiences de projet	| experiences de projet | image8.png
experiences de projet -	| Experiences de projet - | image7.png
experimental	| Experimental | image1.png
exploitation	| exploitation | image3.png
ext@4	| ext@4 | image4.png
externes	| externes | image2.png
f1	| F1 | image1.png
fabrication	| Fabrication | image4.png
fabrication intelligente	| fabrication intelligente | image4.png
fastq	| FASTQ | image1.png
favori	| Favori | image5.png
favori × dans la page de detail d'un poste.	| Favori × dans la page de detail d'un poste. | image5.png
favoris?	| Favoris? | image5.png
favoriser fapplication concrete de la technologie	| Favoriser Fapplication concrete de la technologie | image5.png
feature matrix	| feature matrix | image1.png
features	| features | image1.png
femnde popularite	| femnde Popularite | image5.png
fenetre	| Fenetre | image2.png
fichier	| Fichier | image2.png
fichier ×	| Fichier × | image2.png
filter informative	| Filter informative | image1.png
filtrer les	| Filtrer les | image2.png
flink	| Flink | image3.png
fluxdetransaction'central:tempsdereponsede200	| Fluxdetransaction'central:tempsdereponsede200 | image8.png
foffre	| Foffre | image5.png
fonctionnel	| fonctionnel | image4.png
fonctions	| Fonctions | image2.png
formation	| Formation | image7.png
forte	| forte | image9.png
fortes	| fortes | image9.png
forts	| forts | image7.png
fourchette	| Fourchette | image5.png
frameworks et	| Frameworks et | image3.png
g-analysedespostes	| g-Analysedespostes | image3.png
gauche	| gauche | image8.png
geeneral	| Geéneral | image4.png
general	| Général | image4.png
generate	| Generate | image1.png
gestion d'entrepot, production, acquisition de donnees, wms, transport - ingenieur systemes mes	| Gestion d'entrepot, production, acquisition de donnees, WMs, transport - Ingenieur systemes MEs | image4.png
gin, logistique, grpc, mysql, acquisition de donnees, kubernetes - developpement backend go	| Gin, logistique, gRPC, MySQL, acquisition de donnees, Kubernetes - Developpement backend Go | image4.png
grande entreprise internet	| Grande entreprise Internet | image9.png
grands	| Grands | image3.png,image5.png
guantifiee	| guantifiee | image8.png
hadoop	| Hadoop | image9.png
haut	| Haut | image9.png
haute concurrence ethaute disponibilite	| haute concurrence ethaute disponibilite | image9.png
high	| High | image1.png
high quality	| High quality | image1.png
hive	| Hive | image3.png
i'original	| I'original | image7.png
ia	| IA | image5.png,image6.png,image7.png
ia dans leur jd	| IA dans leur JD | image6.png
ia et	| IA et | image3.png
ication	| ication | image3.png
importance	| importance | image1.png,image6.png
indice de	| Indice de | image5.png
industriel	| industriel | image3.png
informations	| Informations | image7.png,image9.png
informations de	| Informations de | image5.png,image9.png
ingenierie	| Ingenierie | image3.png
ingenierie des	| Ingenierie des | image5.png
ingenierie des grands	| Ingenierie des grands | image5.png
ingenierie et	| Ingenierie et | image3.png
ingenieur	| Ingenieur | image3.png,image6.png
ingenieur developpement	| Ingenieur developpement | image7.png
ingenieur logiciel - carte technique	| Ingenieur logiciel - Carte technique | image3.png
input: raw data	| Input: raw data | image1.png
integration	| integration | image5.png
intelliaente	| intelliaente | image4.png
intelligente	| intelligente | image4.png
intemet	| Intemet | image3.png
interhet'fechnologies	| Interhet'fechnologies | image5.png
intermediaire	| Intermediaire | image5.png
internes	| internes | image6.png
internet	| Internet | image4.png
interpretation workflow	| Interpretation workflow | image1.png
inux	| inux | image3.png
ixi	| IXI | image1.png
java	| Java | image3.png,image9.png
java (expert), springboot (maitrise), mysql (maitrise), redis (notions), conception	| Java (expert), SpringBoot (maitrise), MySQL (maitrise), Redis (notions), conception | image7.png
jd	| JD | image9.png
jd de	| JD de | image6.png
jinzhong	| Jinzhong | image3.png
jmeter	| JMeter | image3.png
job_labels	| job_labels | image2.png
job_posting_details	| job_posting_details | image2.png
job_postings	| job_postings | image2.png
key features	| Key features | image1.png
keywords	| keywords | image2.png
kubernetes	| Kubernetes | image3.png
l'adoption du cloud natif et des microservices s'approfondit ;	| L'adoption du cloud natif et des microservices s'approfondit ; | image6.png
l'essor des grands modeles pousse les entreprises a integrer pia dans les	| L'essor des grands modeles pousse les entreprises a integrer PIA dans les | image6.png
l'ordre des projets (α implementation -→ responsabilites -→+ resultats >) est logique, mais le second (librairie en ligne) colle mieux a votre	| L'ordre des projets (α implementation -→ responsabilites -→+ resultats >) est logique, mais le second (librairie en ligne) colle mieux a votre | image7.png
la migration vers le cloud renforce les competences	| La migration vers le cloud renforce les competences | image6.png
la valeur metier	| la valeur metier | image8.png
la zone & experiences de projet  selectionnee constitu la partie la plus convaincante et la plus dense du cv. ses points forts sont les suivants :	| La zone & Experiences de projet  selectionnee constitu la partie la plus convaincante et la plus dense du CV. Ses points forts sont les suivants : | image7.png
lancer	| Lancer | image7.png
langages	| Langages | image3.png
latence p99 < 200 ms.	| latence P99 < 200 ms. | image8.png
lava	| lava | image9.png
le cloud natif (orchestration de conteneurs + mallage de services + exploitation declarative)	| Le cloud natif (orchestration de conteneurs + mallage de services + exploitation declarative) | image6.png
le pilier du backend java,	| le pilier du backend Java, | image6.png
le poste	| le poste | image7.png
le premier projet indique  temps de reponse moyen < 1 s 》, un indicateur dur de	| Le premier projet indique  temps de reponse moyen < 1 s 》, un indicateur dur de | image7.png
le second indique  1oo+ acces concurrents  et  couverture de tests 7o % , deux atouts pour un poste backend : performance et qualite.	| Le second indique  1oo+ acces concurrents  et  couverture de tests 7o % , deux atouts pour un poste backend : performance et qualite. | image7.png
le synchroniser avec le cv de	| le synchroniser avec le CV de | image8.png
les competences cloud natif, kubernetes, docker, servicemesh pesent davantage dans les	| Les competences cloud natif, Kubernetes, Docker, ServiceMesh pesent davantage dans les | image6.png
les details	| les details | image5.png
les outils de codage a grands modeles s'implantent plus vite dans la r&d ; la	| Les outils de codage a grands modeles s'implantent plus vite dans la R&D ; la | image6.png
les priorites sont marquees  (prioritaire)  ; preparez	| Les priorites sont marquees  (prioritaire)  ; preparez | image9.png
les questions de scenario avant 'entretien.	| les questions de scenario avant 'entretien. | image9.png
les solutions transactionnelles convergent.	| les solutions transactionnelles convergent. | image6.png
les validations externes (α excellente evaluation en soutenance w,  3e prix universitaire	| Les validations externes (α excellente evaluation en soutenance w,  3e prix universitaire | image7.png
licence ou	| Licence ou | image9.png
lieu de	| Lieu de | image5.png
listedespostes	| listedespostes | image5.png
loaiciel, internet	| loaiciel, Internet | image4.png
logiciel	| logiciel | image3.png
logiciel de	| Logiciel de | image3.png
logiciel industriel, prototypage, wms, acquisition de donnees, redaction de documents - analyste	| Logiciel industriel, prototypage, WMS, acquisition de donnees, redaction de documents - Analyste | image4.png
logiciel, internet	| logiciel, Internet | image4.png
logicielle	| logicielle | image3.png
logistique	| logistique | image3.png
logistique, prd, acquisition de donnees, wms, etude utilisateur - chef de produit	| Logistique, PRD, acquisition de donnees, WMS, etude utilisateur - Chef de produit | image4.png
logistique, sql, automatisation bureautique, wms, acquisition de donnees - agent des douanes	| Logistique, SQL, automatisation bureautique, WMS, acquisition de donnees - Agent des douanes | image4.png
lot	| loT | image3.png
low	| Low | image1.png
main pipeline	| Main Pipeline | image1.png
map_data_table	| map_data_table | image2.png
materiel	| Materiel | image3.png
meilleure	| Meilleure | image9.png
mes, evaluation des risques, audit de securite, logiciel industriel - ingenieur securite de i'information	| MES, evaluation des risques, audit de securite, logiciel industriel - Ingenieur securite de I'information | image4.png
mes, logiciel industriel, acquisition de donnees, excel, automatisation bureautique, wms - ingenieur mes	| MES, logiciel industriel, acquisition de donnees, Excel, automatisation bureautique, WMS - Ingenieur MES | image4.png
mes, wms, cmake, stl, linux, logistique, multithreading - developpeur c++	| MES, WMS, CMake, STL, Linux, logistique, multithreading - Développeur C++ | image4.png
mettre en avant les resultats chiffres et	| Mettre en avant les resultats chiffres et | image8.png
microservices	| Microservices | image3.png
migration complete des clients publics et internet vers le cloud : livraison	| Migration complete des clients publics et Internet vers le cloud : livraison | image6.png
mise a jour	| Mise a jour | image6.png
missing rate < 20%	| Missing rate < 20% | image1.png
model performance overview	| Model performance overview | image1.png
modeles	| modeles | image3.png
modeles +26	| modeles +26 | image5.png
models	| models | image1.png
moins de mots	| moins de mots | image8.png
mois	| mois | image6.png
mots-cles cliquables	| mots-cles cliquables | image7.png
mqtt	| MQTT | image3.png
msnne	| msnne | image5.png
multi-agents	| multi-agents | image5.png
