== 城市总数: 195 ==
城市      省份    岗位数    类型数   AI数    真实数    AI占比%
淄博      山东    52     52    52     0      100
张家港     江苏    51     46    49     2      96
河源      广东    51     48    51     0      100
邯郸      河北    51     49    51     0      100
驻马店     河南    51     48    51     0      100
眉山      四川    51     50    49     2      96
崇左      广西    51     47    49     2      96
开封      河南    51     47    51     0      100
信阳      河南    51     45    51     0      100
九江      江西    50     47    50     0      100
吉林      吉林    50     47    50     0      100
威海      山东    50     44    48     2      96
运城      山西    50     48    50     0      100
齐齐哈尔    黑龙江   50     46    50     0      100
滁州      安徽    50     43    42     8      84
清远      广东    50     45    44     6      88
常德      湖南    49     47    49     0      100
盐城      江苏    49     49    49     0      100
泸州      四川    48     45    48     0      100
南阳      河南    47     45    47     0      100
云浮      广东    47     43    47     0      100
内江      四川    47     42    47     0      100
焦作      河南    46     42    46     0      100
嘉峪关     甘肃    45     43    45     0      100
渭南      陕西    44     43    44     0      100
咸宁      湖北    44     41    44     0      100
揭阳      广东    43     43    43     0      100
高雄      台湾    43     43    43     0      100
宿州      安徽    43     40    43     0      100
肇庆      广东    43     40    41     2      95
周口      河南    42     42    42     0      100
赣州      江西    42     42    42     0      100
朝阳      辽宁    42     40    40     2      95
丽江      云南    42     41    42     0      100
鞍山      辽宁    41     38    41     0      100
上饶      江西    41     41    41     0      100
遂宁      四川    41     40    39     2      95
安康      陕西    41     41    41     0      100
抚州      江西    41     40    39     2      95
常熟      江苏    41     40    39     2      95
临汾      山西    40     39    40     0      100
自贡      四川    40     40    40     0      100
德阳      四川    40     38    38     2      95
衢州      浙江    40     40    40     0      100
丽水      浙江    40     39    38     2      95
聊城      山东    40     38    38     2      95
衡阳      湖南    39     39    39     0      100
淮南      安徽    39     39    39     0      100
海宁      浙江    39     37    35     4      90
乐山      四川    38     38    38     0      100
北海      广西    38     35    36     2      95
江门      广东    37     31    31     6      84
荆门      湖北    37     35    37     0      100
锦州      辽宁    37     36    37     0      100
阳江      广东    35     34    33     2      94
郴州      湖南    35     34    33     2      94
十堰      湖北    34     32    34     0      100
广安      四川    32     32    32     0      100
韶关      广东    31     31    31     0      100
赤峰      内蒙古   31     31    31     0      100
许昌      河南    31     29    29     2      94
大同      山西    31     30    29     2      94
宁德      福建    29     29    29     0      100
开平      广东    29     28    27     2      93
湛江      广东    29     29    29     0      100
马鞍山     安徽    29     29    29     0      100
本溪      辽宁    28     28    28     0      100
榆林      陕西    28     28    28     0      100
新乡      河南    27     26    25     2      93
泰州      江苏    26     23    20     6      77
阜阳      安徽    26     26    26     0      100
玉溪      云南    25     25    25     0      100
宿迁      江苏    25     24    23     2      92
宝鸡      陕西    24     24    24     0      100
梅州      广东    24     23    22     2      92
湖北省     ?     2      1     0      2      0

== 岗位集合分析 ==

== 同省内城市岗位集合重合率 Top 20 ==
江苏   徐州      x镇江       重合率=0.92 Jaccard=0.46 (46/50) 岗位数 96/50
山东   青岛      x聊城       重合率=0.89 Jaccard=0.32 (34/38) 岗位数 101/38
山东   潍坊      x聊城       重合率=0.87 Jaccard=0.31 (33/38) 岗位数 102/38
山东   青岛      x泰安       重合率=0.87 Jaccard=0.48 (52/60) 岗位数 101/60
江苏   徐州      x扬州       重合率=0.86 Jaccard=0.57 (60/70) 岗位数 96/70
浙江   金华      x温州       重合率=0.84 Jaccard=0.51 (49/58) 岗位数 88/58
山东   潍坊      x泰安       重合率=0.83 Jaccard=0.45 (50/60) 岗位数 102/60
福建   厦门      x宁德       重合率=0.83 Jaccard=0.26 (24/29) 岗位数 88/29
江苏   徐州      x张家港      重合率=0.83 Jaccard=0.37 (38/46) 岗位数 96/46
江苏   徐州      x常熟       重合率=0.82 Jaccard=0.32 (33/40) 岗位数 96/40
福建   厦门      x泉州       重合率=0.82 Jaccard=0.52 (51/62) 岗位数 88/62
江苏   徐州      x连云港      重合率=0.82 Jaccard=0.48 (51/62) 岗位数 96/62
辽宁   大连      x本溪       重合率=0.82 Jaccard=0.25 (23/28) 岗位数 87/28
浙江   金华      x湖州       重合率=0.81 Jaccard=0.52 (52/64) 岗位数 88/64
江苏   徐州      x淮安       重合率=0.79 Jaccard=0.43 (46/58) 岗位数 96/58
山东   青岛      x潍坊       重合率=0.79 Jaccard=0.65 (80/101) 岗位数 101/102
江苏   徐州      x宿迁       重合率=0.79 Jaccard=0.19 (19/24) 岗位数 96/24
台湾   台北      x高雄       重合率=0.79 Jaccard=0.34 (34/43) 岗位数 90/43
山东   济宁      x聊城       重合率=0.79 Jaccard=0.29 (30/38) 岗位数 94/38
山东   青岛      x淄博       重合率=0.79 Jaccard=0.37 (41/52) 岗位数 101/52

== 岗位集合完全相同的城市对（小集合>5）==
完全相同城市对总数: 0

== 出现城市数最多的岗位 Top 20 ==
134/195 城市  前端开发工程师
132/195 城市  电气工程师
127/195 城市  Java开发工程师
106/195 城市  算法工程师
106/195 城市  测试工程师
105/195 城市  数据分析师
102/195 城市  产品经理
101/195 城市  Python开发工程师
100/195 城市  运维工程师
 97/195 城市  数据库工程师
 97/195 城市  PLC工程师
 96/195 城市  工艺工程师
 93/195 城市  质量工程师
 92/195 城市  系统架构师
 86/195 城市  嵌入式开发工程师
 83/195 城市  嵌入式软件工程师
 82/195 城市  设备维护工程师
 82/195 城市  数控编程工程师
 81/195 城市  自动化工程师
 81/195 城市  机械设计工程师

== 每城市"全国同款岗位"(出现于>50%城市)占比 Top 15 ==
德阳       同款占比 0.24 (9/38)
广安       同款占比 0.22 (7/32)
十堰       同款占比 0.22 (7/32)
遂宁       同款占比 0.20 (8/40)
自贡       同款占比 0.20 (8/40)
宜宾       同款占比 0.20 (9/45)
丽水       同款占比 0.18 (7/39)
本溪       同款占比 0.18 (5/28)
泸州       同款占比 0.18 (8/45)
常熟       同款占比 0.17 (7/40)
湛江       同款占比 0.17 (5/29)
宁德       同款占比 0.17 (5/29)
咸宁       同款占比 0.17 (7/41)
锦州       同款占比 0.17 (6/36)
焦作       同款占比 0.17 (7/42)

== 各省城市画像一致性（城市岗位集合 vs 省首城）==
云南     城市数=5   平均岗位类型数=59.2   与首城完全一致数=0
内蒙古    城市数=4   平均岗位类型数=78.2   与首城完全一致数=0
台湾     城市数=2   平均岗位类型数=66.5   与首城完全一致数=0
吉林     城市数=2   平均岗位类型数=71.5   与首城完全一致数=0
四川     城市数=13  平均岗位类型数=118.5  与首城完全一致数=0
宁夏     城市数=2   平均岗位类型数=74.5   与首城完全一致数=0
安徽     城市数=10  平均岗位类型数=53.9   与首城完全一致数=0
山东     城市数=10  平均岗位类型数=70.1   与首城完全一致数=0
山西     城市数=4   平均岗位类型数=46.0   与首城完全一致数=0
广东     城市数=22  平均岗位类型数=193.9  与首城完全一致数=0
广西     城市数=6   平均岗位类型数=64.2   与首城完全一致数=0
新疆     城市数=2   平均岗位类型数=65.5   与首城完全一致数=0
江苏     城市数=17  平均岗位类型数=98.1   与首城完全一致数=0
江西     城市数=7   平均岗位类型数=49.3   与首城完全一致数=0
河北     城市数=6   平均岗位类型数=66.8   与首城完全一致数=0
河南     城市数=10  平均岗位类型数=46.9   与首城完全一致数=0
浙江     城市数=12  平均岗位类型数=160.8  与首城完全一致数=0
海南     城市数=3   平均岗位类型数=70.7   与首城完全一致数=0
湖北     城市数=11  平均岗位类型数=107.9  与首城完全一致数=0
湖南     城市数=8   平均岗位类型数=57.0   与首城完全一致数=0
甘肃     城市数=3   平均岗位类型数=55.0   与首城完全一致数=0
福建     城市数=6   平均岗位类型数=58.8   与首城完全一致数=0
贵州     城市数=2   平均岗位类型数=65.0   与首城完全一致数=0
辽宁     城市数=9   平均岗位类型数=50.6   与首城完全一致数=0
陕西     城市数=7   平均岗位类型数=61.4   与首城完全一致数=0
黑龙江    城市数=3   平均岗位类型数=78.3   与首城完全一致数=0
