[迁移] the_total_table 已补齐 industry_tags/skills/job_description/qualification/work_experience/city_seed/sort_weight 列
[重建] 已删除全部 ai_seed 行 10600 条

城市        省份      真实标题    已有AI    补齐前     补齐后     新增    达标
曲靖        云南      0       0       0       103     103   OK
朝阳        辽宁      1       0       1       42      40    OK
本溪        辽宁      0       0       0       28      28    OK
杭州        浙江      1288    0       1288    1288    0     OK
柳州        广西      1       0       1       92      90    OK
株洲        湖南      0       0       0       77      77    OK
桂林        广西      1       0       1       116     114   OK
梅州        广东      1       0       1       24      22    OK
梧州        广西      0       0       0       69      69    OK
榆林        陕西      0       0       0       28      28    OK
武汉        湖北      646     0       646     646     0     OK
汉中        陕西      0       0       0       57      57    OK
汕头        广东      0       0       0       101     101   OK
汕尾        广东      2       0       2       53      49    OK
江门        广东      3       0       3       37      31    OK
沈阳        辽宁      26      0       26      98      44    OK
沧州        河北      0       0       0       79      79    OK
河源        广东      0       0       0       51      51    OK
泉州        福建      0       0       0       68      68    OK
泰安        山东      0       0       0       64      64    OK
泰州        江苏      3       0       3       26      20    OK
泸州        四川      0       0       0       48      48    OK
洛阳        河南      0       0       0       105     105   OK
济南        山东      89      0       89      89      0     OK
济宁        山东      1       0       1       128     126   OK
海口        海南      1       0       1       86      84    OK
海宁        浙江      2       0       2       39      35    OK
淄博        山东      0       0       0       52      52    OK
淮北        安徽      1       0       1       57      55    OK
淮南        安徽      0       0       0       39      39    OK
淮安        江苏      1       0       1       66      64    OK
深圳        广东      1700    0       1700    1700    0     OK
清远        广东      3       0       3       50      44    OK
温州        浙江      1       0       1       60      58    OK
渭南        陕西      0       0       0       44      44    OK
湖州        浙江      1       0       1       74      72    OK
湘潭        湖南      0       0       0       60      60    OK
湛江        广东      0       0       0       29      29    OK
滁州        安徽      4       0       4       50      42    OK
漳州        福建      0       0       0       58      58    OK
潍坊        山东      0       0       0       148     148   OK
潮州        广东      0       0       0       62      62    OK
澄迈        海南      1       0       1       74      72    OK
澳门        澳门      0       0       0       139     139   OK
烟台        山东      47      0       47      47      0     OK
焦作        河南      0       0       0       46      46    OK
玉溪        云南      0       0       0       25      25    OK
珠海        广东      27      0       27      84      28    OK
益阳        湖南      0       0       0       71      71    OK
盐城        江苏      0       0       0       49      49    OK
眉山        四川      1       0       1       51      49    OK
石嘴山       宁夏      0       0       0       76      76    OK
石家庄       河北      2       0       2       88      84    OK
福州        福建      66      0       66      66      0     OK
绍兴        浙江      6       0       6       86      74    OK
绵阳        四川      1       0       1       88      86    OK
聊城        山东      1       0       1       40      38    OK
肇庆        广东      1       0       1       43      41    OK
自贡        四川      0       0       0       40      40    OK
舟山        浙江      1       0       1       63      61    OK
芜湖        安徽      4       0       4       122     112   OK
苏州        江苏      51      0       51      126     22    OK
茂名        广东      0       0       0       73      73    OK
荆州        湖北      1       0       1       61      59    OK
荆门        湖北      0       0       0       37      37    OK
莆田        福建      0       0       0       61      61    OK
营口        辽宁      1       0       1       53      51    OK
蚌埠        安徽      0       0       0       69      69    OK
衡阳        湖南      0       0       0       39      39    OK
衢州        浙江      0       0       0       40      40    OK
襄阳        湖北      1       0       1       88      86    OK
西宁        青海      0       0       0       86      86    OK
西安        陕西      147     0       147     147     0     OK
许昌        河南      1       0       1       31      29    OK
贵阳        贵州      0       0       0       63      63    OK
赣州        江西      0       0       0       42      42    OK
赤峰        内蒙古     0       0       0       31      31    OK
达州        四川      0       0       0       60      60    OK
运城        山西      0       0       0       50      50    OK
连云港       江苏      0       0       0       66      66    OK
遂宁        四川      1       0       1       41      39    OK
遵义        贵州      0       0       0       74      74    OK
邯郸        河北      0       0       0       51      51    OK
郑州        河南      59      0       59      59      0     OK
郴州        湖南      1       0       1       35      33    OK
鄂尔多斯      内蒙古     0       0       0       145     145   OK
鄂州        湖北      0       0       0       59      59    OK
重庆        重庆      103     0       103     103     0     OK
金华        浙江      2       0       2       135     131   OK
银川        宁夏      0       0       0       129     129   OK
锦州        辽宁      0       0       0       37      37    OK
镇江        江苏      0       0       0       58      58    OK
长春        吉林      1       0       1       126     124   OK
长沙        湖南      65      0       65      65      0     OK
阜阳        安徽      0       0       0       26      26    OK
阳江        广东      1       0       1       35      33    OK
青岛        山东      4       0       4       149     141   OK
鞍山        辽宁      0       0       0       41      41    OK
韶关        广东      0       0       0       31      31    OK
香港        香港      0       0       0       63      63    OK
马鞍山       安徽      0       0       0       29      29    OK
驻马店       河南      0       0       0       51      51    OK
高雄        台湾      0       0       0       43      43    OK
黄冈        湖北      0       0       0       77      77    OK
黄石        湖北      0       0       0       72      72    OK
齐齐哈尔      黑龙江     0       0       0       50      50    OK
----------------------------------------------------------------------
共 194 个城市，新增写入 11101 条，未达标 0 个
